bedrooms,bathrooms,square_footage,address,price
3,1,731,"11534 S Peoria Street Chicago, IL 60643",125000
1,1,815,"33 W Ontario Street , 20C Chicago, IL 60654",299000
1,1,700,"222 N Columbus Drive , 606 Chicago, IL 60601",259900
3,1,1280,"9412 S Millard Avenue Evergreen Park, IL 60805",309900
3,2,1150,"12727 S Page Street Calumet Park, IL 60827",179950
3,2,1500,"4706 S Saint Lawrence Avenue 2W Chicago, IL 60615",430000
2,2,2200,"4431 N Paulina Street 1S Chicago, IL 60640",595000
3,3,2200,"313 S Racine Avenue 4B Chicago, IL 60607",999999
3,2,1900,"6342 N Sheridan Road 2B Chicago, IL 60660",435000
2,1,1013,"1819 S Michigan Avenue , 308 Chicago, IL 60616",319900
5,3,2874,"8358 S Sangamon Street Chicago, IL 60620",325000
1,1,790,"1040 W Adams Street , 215 Chicago, IL 60607",415000
3,3,3000,"2104 S May Street Chicago, IL 60608",999000
4,2,3800,"2300 N Monticello Avenue Chicago, IL 60647",995000
3,2,1500,"846 W ALDINE Avenue 2 Chicago, IL 60657",724900
4,3,2500,"3240 N California Avenue 1N Chicago, IL 60618",625000
2,2,1500,"2221 N Lincoln Avenue 1N Chicago, IL 60614",550000
3,2,1669,"3631 S 61st Avenue Cicero, IL 60804",350000
4,2,1561,"1801 N 72nd Court Elmwood Park, IL 60707",339000
1,1,900,"405 N WABASH Avenue 2314 Chicago, IL 60611",299900
2,2,1035,"7424 S Blackstone Avenue Chicago, IL 60619",135000
3,3,3225,"2960 N Allen Avenue Chicago, IL 60618",1050000
3,2,2712,"2430 W Cortez Street 1 Chicago, IL 60622",749900
2,1,1100,"2617 W Leland Avenue 2 Chicago, IL 60625",399900
2,2,1400,"130 N Garland Court 2307 Chicago, IL 60602",699000
4,2,1332,"4843 W Schubert Avenue Chicago, IL 60639",480000
3,3,2800,"4914 S Washington Park Court Chicago, IL 60615",649900
1,1,800,"1632 S INDIANA Avenue 506 Chicago, IL 60616",242000
3,1,1302,"3316 S Union Avenue Chicago, IL 60616",398000
2,2,1500,"6033 N Sheridan Road 25K Chicago, IL 60660",299900
3,2,1450,"1715 W Leland Avenue 1 Chicago, IL 60640",485000
3,2,1700,"1242 W Jackson Boulevard 2W Chicago, IL 60607",775000
5,3,3600,"4932 S Martin Luther King Drive Chicago, IL 60653",949000
4,3,2273,"3951 N Wayne Avenue 301 Chicago, IL 60613",1379999
4,3,2045,"3951 N Wayne Avenue 207 Chicago, IL 60613",1229999
3,2,1753,"3951 N Wayne Avenue 404 Chicago, IL 60613",1149999
3,2,1783,"3951 N Wayne Avenue 205 Chicago, IL 60613",1079999
3,3,1866,"3951 N Wayne Avenue 107 Chicago, IL 60613",1049999
3,2,1600,"1430 N Astor Street 11C Chicago, IL 60610",599000
3,3,2157,"130 N Garland Court 3501 Chicago, IL 60602",1065000
2,2,1361,"240 E Illinois Street 2206 Chicago, IL 60611",739900
2,2,1758,"130 N Garland Court 3803 Chicago, IL 60602",1050000
1,1,809,"130 N Garland Court 2608 Chicago, IL 60602",344900
2,2,1700,"720 S Dearborn Street 1105 Chicago, IL 60605",499999
5,4,3800,"1716 W Beverly Glen Parkway Chicago, IL 60643",615000
1,1,950,"210 S Desplaines Street 1110 Chicago, IL 60661",349900
2,1,935,"3340 N Pioneer Avenue Chicago, IL 60634",314900
3,2,1153,"6954 S Prairie Avenue Chicago, IL 60637",269900
2,2,850,"1171 E 61st Street 3 Chicago, IL 60637",190000
5,4,4200,"1745 W Cornelia Avenue Chicago, IL 60657",1725000
4,4,3285,"8800 S Laflin Street Chicago, IL 60620",380000
1,1,900,"1832 N Lincoln Avenue G1 Chicago, IL 60614",330000
4,3,2700,"2012 W Erie Street 1W Chicago, IL 60612",875000
2,2,1200,"1901 S Calumet Avenue 704 Chicago, IL 60616",415000
1,1,826,"545 N Dearborn Street 2202 Chicago, IL 60654",310000
5,4,3408,"7100 N SIOUX Avenue Chicago, IL 60646",1225000
2,2,1250,"758 N Larrabee Street 620 Chicago, IL 60654",450000
2,2,1348,"8 E RANDOLPH Street 1905 Chicago, IL 60601",449000
4,2,1650,"10633 S Whipple Street Chicago, IL 60655",469900
3,2,2400,"2337 W WASHINGTON Boulevard 1 Chicago, IL 60612",399990
3,4,2600,"7337 N Mcvicker Avenue Chicago, IL 60646",799000
4,2,3100,"1478 S PRAIRIE Avenue N Chicago, IL 60605",929000
1,1,1171,"165 N Canal Street 1030 Chicago, IL 60606",325000
1,2,1350,"1140 W Newport Avenue H Chicago, IL 60657",649999
3,1,2400,"6034 W 60th Street Chicago, IL 60638",489900
4,2,1700,"5936 S Keeler Avenue Chicago, IL 60629",359999
4,4,3585,"9142 S Longwood Drive Chicago, IL 60643",690000
1,1,700,"5415 N Sheridan Road 5114 Chicago, IL 60640",179900
3,3,2600,"334 N JEFFERSON Street D Chicago, IL 60661",925000
